[INPUT1],[INPUT2],[INPUT3],[INPUT4],[OPTION1],[OPTION2],[ANSWER]
Sam sedang mengamati bintang di suatu malam.,"Tiba-tiba, ia duduk tegak.",Ia melihat sebuah bintang yang berkilauan bergerak!,Ia lari untuk memperlihatkannya kepada ayahnya.,Ayahnya tertawa karena bintang itu sesungguhnya adalah sebuah pesawat jet dengan lampu.,Ayah Sam senang karena putranya tertarik dengan geologi.,0
John dan Meg sudah berpacaran selama lima tahun.,"John mencintai Meg, dan ingin menikahinya.","Ia memutuskan untuk melamarnya malam ini, setelah kencan nonton film.","Saat keluar dari bioskop, ia tiba-tiba berlutut.",Ia mulai meneriakkan berbagai umpatan kepada Meg.,Ia meminta Meg untuk menikahinya.,1
Setandan pisang yang indah bergelantung tepat di luar jangkauan.,"Bobby mencoba melemparkan sepatunya, tetapi sepatunya tersangkut.","Ia mencoba memanjat pohon, tetapi terjatuh.","Kemudian, ia mengayunkan cangkul dengan marah, tetapi terlalu pendek untuk menjangkaunya.",Bobby kesal karena mendapatkan pisangnya.,Bobby pergi mengambil tangga di gudang untuk memetik pisangnya.,1
Beth sedang pulih dari sakit.,Ia akhirnya dapat makan setelah 4 hari.,"Meski sudah lebih baik, ia belum sehat sepenuhnya.",Ia memutuskan untuk tidak masuk sekolah di hari Jumat dan meluangkan waktu untuk sembuh.,Beth butuh beristirahat.,Beth bermain sepak bola saat tidak masuk sekolah di hari Jumat.,0
Rhonda membawa kaus kaki pink baru untuk dikenakan.,Ia sangat menyukainya.,"Tetapi saat ia menanggalkannya, kaus kakinya tercampur dengan cucian lainnya.","Di hari mencuci baju, ia mencuci baju-bajunya tanpa memilahnya.",Rhonda lalu memutuskan untuk makan siang dan membalas email.,"Sayangnya, kaus kakinya rusak dan Rhonda harus membeli kaus kaki baru.",1
Laut menakutkan saat sedang badai.,Marcus tidak suka saat perahunya terombang-ambing.,Itu membuatnya mual.,"Ia meringkuk di kabinnya dan memejamkan mata, tetapi itu tidak membantu.",Marcus sangat senang sehingga ia mulai menari.,Marcus muntah karena mabuk laut.,1
"Kemarin, Anna memutuskan untuk tidur siang.",Ia duduk dengan nyaman di kursinya dan memejamkan mata.,"Saat ia baru mulai tertidur, anak anjing putrinya melompat ke pangkuannya!",Ia sangat terkejut.,"Ia merangkul anak anjing yang lucu itu, senang melihatnya.",Anak kucing itu sangat menggemaskan.,0
Chuck sangat menyukai bar di dekat rumahnya.,Ia selalu pergi ke sana bersama teman-temannya.,Ia sedang dalam perjalanan ke sana di suatu hari dan melihat bahwa bar itu tutup.,Bar itu telah tutup usaha.,Chuck merasa sedih.,Chuck senang karena tempat itu akhirnya ditutup.,0
Steve sedang duduk di kafe.,"Saat di kafe, ia biasanya membaca buku.","Namun, hari ini ia melupakan bukunya.",Ia tak punya pilihan selain banyak berpikir.,Steve menyelesaikan teka-teki silangnya dalam waktu tercepat.,"Selagi berpikir, Steve menemukan gagasan untuk sebuah novel.",1
John sedang mengemudi ke toko saat tersadar bahwa ia melupakan dompetnya.,Surat izin mengemudinya ada di dalam dompet.,Lampu mobil polisi berkedip di belakangnya.,"Setelah meminggirkan mobilnya, ia memberi tahu petugas polisi bahwa ia melupakan dompetnya di rumah.",John lalu mulai menyerang petugas polisi tersebut.,Petugas polisi itu mengerti.,1
Tom tumbuh besar dengan menggemari teka-teki.,Ia berada tepat di luar ruang permainan meloloskan diri.,Ia menenangkan napasnya dan menyiapkan mentalnya.,"Tiga puluh menit kemudian, ia keluar dari ruang permainan itu dengan waktu tercepat.",Ia merasa bangga dengan pencapaiannya.,Tom kesal dengan hasilnya yang mengecewakan.,0
Gina merasa bosan saat sedang membersihkan kamarnya.,Tetapi hal itu harus dilakukan.,Ia memutuskan untuk menyalakan radio.,Ada lagu yang belum pernah didengarnya.,Ia menyukai lagu itu.,Gina berpakaian dan berangkat untuk bekerja.,0
Sebuah badai salju ringan melanda kota.,Atap sekolah roboh karena terlalu berat.,Petugas kebersihan memanjat ke atas untuk memeriksa.,Atapnya bergetar menahan tambahan beratnya.,Atapnya baik-baik saja.,Petugas kebersihan tersebut ketakutan.,1
Aku berulang tahun kemarin.,Aku terkejut karena teman-temanku merencanakan sebuah pesta untukku.,Aku sulit memercayainya.,Pestanya sangat menyenangkan.,Aku tidak suka ulang tahunku.,Itu adalah pesta ulang tahun yang terbaik dari semuanya.,1
Ibuku membuang kamusnya yang lama.,Aku mengambilnya kembali dari tempat sampah.,"Sambil duduk, aku mengendusnya.",Baunya mengingatkanku akan bau perpustakaan lama.,Menjijikkan.,Baunya sangat enak sampai-sampai aku memakannya.,0
Orang tua kami membawa kami ke Taman Paragon di tahun 1963.,Kami naik feri dari Dermaga Rowes di Boston.,"Kami naik karosel, whip, dan ulat bulu.",Kami bermain skeeball.,Kami punya banyak kenangan indah dari perjalanan di masa kecil ini.,Aku tidak ingat pernah pergi ke Taman Paragon.,0
Film favoritku adalah Penyihir dari Oz.,Aku mengira itu sungguhan saat aku masih kecil.,"Setiap kali menontonnya, aku merasa hanyut di dalam film itu.",Karakter-karakternya membawaku pergi ke Negeri Oz.,"Suatu hari, aku memutuskan untuk membeli film itu.",Aku tidak suka Penyihir dari Oz.,0
Mary Ann pergi berjalan-jalan di jalur di taman.,Ia berpapasan dengan orang-orang yang membawa anak-anak dan hewan.,Ia berpapasan dengan orang-orang yang sedang joging dan bersepeda.,Ia melihat banyak tanaman.,Mary Ann terkena ruam dari salah satunya karena tanaman itu adalah jelatang.,Mary Ann selesai membuat salad dan dengan senang memakannya.,0
"Suatu hari, seekor anjing bergabung di sebuah keluarga yang memiliki dua ekor kucing.","Salah satu kucingnya tidak keberatan dengan anjing baru itu, tetapi kucing yang satunya merasa takut.",Ia mengeong dengan lantang dan mencakar hidung anjing itu.,Ia melompat dari satu sisi ruangan ke sisi lainnya untuk menjauh dari anjing itu.,Ia duduk berdekatan dengan anjing itu.,Anjing itu menemukannya dan menyerangnya.,1
Hewan favoritku adalah Oriks Arab.,Aku tidak sering melihatnya karena itu adalah antelop Afrika.,Aku harus pergi ke kebun binatang.,Keluargaku membelikanku sebuah hadiah yang bagus untuk ulang tahunku tahun ini.,Mereka memberiku sebuah buku bergambar besar tentang hewan-hewan Afrika.,Mereka memberiku sebuah buku tentang sejarah komputer.,0
"Setiap hari, aku mengomeli putriku untuk mengerjakan tugas sekolahnya.",Akhirnya aku memutuskan bahwa itu adalah tanggung jawabnya sendiri.,"Tentu saja, pada suatu malam ia tidak mengerjakannya.","Aku tetap menyuruhnya tidur, tahu bahwa ia akan mendapat masalah di sekolah.",Ia akhirnya dapat nilai jelek untuk tugas itu.,Ia bermain bola basket bersama teman-temannya sepanjang sore.,0
Seorang pemuda ingin menjadi pelempar untuk tim bisbolnya.,Ia banyak berlatih dengan saudara-saudaranya.,"Saat latihan, pelatihnya mengizinkannya mencoba menjadi pelempar.",Ia tidak melakukannya dengan baik.,Pemuda itu pulang dengan kecewa.,Sang pelatih menawarkan posisi pelempar pertama kepada pemuda itu.,0
Sue terbangun tengah malam karena bau yang tidak enak.,Ia tidak dapat menebak bau apa itu.,Ia melihat ke sekeliling kamar.,Lalu ia melihatnya.,Sarah mulai menonton TV.,Sarah menemukan susu yang sudah basi di atas mejanya.,1
Mark menyadari bahwa giginya mulai sakit suatu hari.,Ia memutuskan untuk pergi ke dokter gigi untuk mencari tahu masalahnya.,Dokter gigi memberi tahu Mark bahwa ia perlu mencabut gigi bungsunya.,Mark setuju untuk melakukan pembedahan.,Mark berharap prosedur itu akan menyembuhkan sakit giginya.,Rekan kerja Mark memberitahunya bahwa ia takkan memasukkan suara saat pemilu.,0
Lulu baru saja pindah ke rumah barunya.,Ia memiliki sebuah mesin pencuci piring untuk pertama kalinya.,Ia memutuskan untuk mencuci piring malam itu.,Ia menuangkan sabun pencuci piring ke dalam kompartemen.,Lulu mematikan mesin pencuci piring.,Lulu menyalakan mesin pencuci piring.,1
Petani Bill memanggil sapi-sapi di padang.,Sapi-sapi itu berderap datang untuk makan.,Bill menuangkan gandum ke wadah besar untuk sapi-sapinya.,Sapi-sapi itu dengan gembira menyantap makan malam mereka.,Bill bangga dengan pekerjaannya.,Bill mencari sapi-sapi itu.,0
Terry meninggalkan rumah sakit dengan frustrasi dan berkecil hati.,Ia kesulitan membuka pintu mobilnya dengan ibu jari yang patah.,"Di rumah, ia meminta pinjaman uang dari saudarinya untuk melakukan operasi.",Ia setuju dengan syarat bahwa Terry mendapatkan pekerjaan dengan asuransi.,"Terry setuju,",Saudari Terry memutuskan untuk melakukan operasi pada ibu jarinya.,0
Mary sudah bekerja di sebuah dealer mobil selama dua tahun tanpa menjual.,Atasannya memberitahunya bahwa ia harus segera menjual sebuah mobil.,"Suatu hari, sepasang kekasih datang ke dealer tersebut dan meminta untuk melihat sebuah mobil.",Mary menjual sebuah mobil yang sangat besar dan mahal kepada mereka.,Atasan Mary senang dengan penjualannya.,Mary sedih karena telah menjual sebuah mobil.,0
Brie dan kucingnya pindah untuk tinggal bersama kekasihnya dan kucingnya.,Kedua kucing itu saling membenci.,Mereka menghabiskan sebagian besar waktu dengan menggeram kepada satu sama lain.,"Pada suatu malam, enam bulan kemudian, kedua kucing itu memutuskan untuk saling berpelukan.",Brie senang mereka telah berteman.,Brie tidak suka keju.,0
Tim butuh lantai dapur yang baru.,Lantai dapurnya yang lama sudah tua dan retak-retak.,Jadi ia pergi membeli ubin baru.,Ia menemukan beberapa ubin yang bagus dan membawanya pulang.,Ia memasang lantai dapur baru yang indah untuk rumahnya.,Tim mengembalikan ubinnya ke toko keesokan harinya.,0
Dave memutuskan suatu hari bahwa ia ingin pergi menonton pertunjukan nickelback.,Ia memesan beberapa tiket.,Ia lalu mengundang beberapa temannya.,Mereka semua pergi ke pertunjukan tersebut dan bersenang-senang,Dave mencari konser lainnya di internet yang akan disukainya.,Dave mengendalikan helikopter dan mendarat di lapangan.,0
Ada sebuah kuburan dengan 199 batu nisan.,12 orang pria membawa sebuah keranda.,12 orang pria menurunkan keranda tersebut ke tanah.,Pria dan wanita menangis bersama.,Mereka bergembira melihat pemandangan itu.,Mereka berduka cita atas orang yang telah meninggal.,1
Joe merasa percaya diri dengan pertandingan tinjunya.,Ia mendominasi keempat ronde pertama.,Ia terkena pukulan hook kiri yang melukai matanya di ronde kelima.,Tujuh ronde terakhir merupakan proses jatuh bangun.,Joe akhirnya memenangkan pertarungan.,Joe menyelesaikan pertarungan tanpa luka atau cedera.,0
Jimmy mengalami hal yang paling menjijikkan.,Ia memungut sekantong keripik kentang dari lantai kamar tidurnya.,"Saat berjalan keluar pintu, ia memakan beberapa keping.","Di luar, temannya berkata, mengapa ada banyak semut merayapi kantongmu?",Jimmy merasa mual.,Jimmy makan keripik dari kantong itu lagi.,0
Putraku ikut serta dalam kontes mobil mainan pramuka siaga.,Tim ayah dan anak merancang mobil-mobilan kecil dari kotak korek api.,Beberapa tim merancang mobil yang mewah.,"Kami merancang sebuah mobil sederhana, yang akhirnya memenangkan kontes tersebut.",Aku dan putraku tidak berhasil.,Putraku senang karena kami menang.,1
Brian mengikuti seleksi masuk tim hoki tahun ini.,Sayangnya ia gagal masuk ke tim.,Pelatih berkata bahwa ia harus lebih cepat di papan luncur.,Brian menghabiskan sepanjang musim dingin dengan mengasah kecepatan meluncurnya.,Ia akhirnya berhasil masuk ke tim.,Ia memutuskan untuk tidak mengikuti seleksi masuk tim.,0
Kelly sedang ski saat tiba-tiba mendengar keributan besar di belakangnya.,Ia menoleh dan melihat dinding salju datang menghampirinya.,Ia panik dan mulai meluncur lebih cepat menuruni lereng.,"Saat longsor mengejarnya, ia dengan cepat melompat ke pepohonan.",Kelly meraih sebatang pohon dan berpegangan erat-erat.,Kelly berhasil berski naik ke bukit saat longsor.,0
Harry sangat ingin menonton film Star Wars yang baru.,Ia menunggu di antrean box office di hari pemutaran perdana.,Ia berhasil membeli tiket untuknya sendiri.,Ia menonton keseluruhan filmnya.,Harry senang ia menonton film itu bersama teman-temannya.,Harry sangat menyukai film itu.,1
Mark akan memulai pekerjaan baru di hari berikutnya.,Ia gugup karena akan dikelilingi begitu banyak orang asing.,Ia nyaris tidak tidur malam sebelumnya karena gelisah.,"Saat memasuki gedung, ia disambut dengan hangat oleh banyak orang.","Ia dipecat di hari yang sama, dan berjalan keluar gedung.",Ia menyadari bahwa ia akan cocok di pekerjaannya yang baru.,1
Ellen memiliki seorang bayi perempuan yang tidur di ranjang bayi di kamarnya sendiri.,"Suatu pagi Ellen tidak mendengar bayinya merengek, jadi ia pergi memeriksa.",Putrinya tidak bergerak atau bernapas!,Ellen menghubungi polisi dalam kepanikannya.,Ellen sangat ketakutan.,Ellen merasa sangat tenang.,0
Pearl mengoleksi CD dengan sampul album yang buruk.,Ia sangat menyukai sebuah CD jazz dengan foto dua lumba-lumba yang disunting bersama.,Saudarinya mencuri CD tersebut saat sedang marah kepadanya.,Pearl sedih dan memohon agar saudarinya mengembalikannya.,Saudari Pearl ingin menyenangkan hati Pearl.,Saudari Pearl ingin membalas dendam.,1
Anna pergi ke pantai.,Airnya sedang surut dan ia melihat sebuah kolam pasang-surut.,Ia pergi memeriksanya dan takjub dengan semua kehidupan di dalamnya.,"Ada ikan, landak laut, bintang laut - sangat mengagumkan!",Anna mengamati kehidupan laut itu dan memikirkan keajaiban alam.,Anna merasa kecewa dengan kunjungannya ke pantai.,0
Brianna mengeluh dengan ketus saat keluarganya pergi berkemah.,Itu akan merusak rambut dan kukunya dan tidak ada tv.,Namun ia melupakan semua hal itu saat mencicipi S'MORE pertamanya.,"Sambil mengunyah camilannya, ia memandangi langit luas berbintang dengan kagum.",Brianna tidak suka s'more.,Brianna sangat suka s'more.,1
Shay sedang berjalan-jalan di hutan.,Lalu ia tersadar bahwa ia tersesat!,Ia mencoba untuk tidak panik.,Ia melacak kembali jejaknya sampai menemukan jalan kembali ke perkemahan.,Ia akhirnya ditemukan berminggu-minggu kemudian di hutan.,Shay merasa sangat lega.,1
Troy adalah pemain terbaik di tim bola basketnya.,Timnya akan bermain dalam pertandingan kejuaraan malam ini.,Troy mencetak 56 poin untuk memenangkan pertandingan tersebut bagi timnya.,Ia membopong sebuah piala besar seusai pertandingan.,Ia memutuskan bahwa bola basket mungkin tidak cocok untuknya.,"Esok paginya, ia mendapati bahwa ia tampil di halaman depan surat kabar.",1
Simon mengalami keracunan makanan.,Ia mengingat-ingat semua restoran yang dikunjunginya baru-baru ini.,Ia menghubungi teman-teman yang makan bersamanya saat itu.,Salah satu temannya memberitahunya bahwa ia juga mengalami keracunan makanan.,Mereka akhirnya tahu restoran yang mana itu.,Mereka kembali makan di restoran yang sama.,0
Arnold takut dengan burung.,"Suatu hari, ia sedang berpiknik.",Seekor burung terbang di kejauhan.,Burung itu mendarat di makanannya.,Arnold bersikap tenang dan senang melihat burung tersebut.,Arnold menjerit ketakutan!,1
"Suatu hari, Adam membawa dua buah pistol BB.","Ia memberikan salah satunya kepada putranya, Christian.",Christian ingin bermain dengan pistol tersebut di dalam rumah.,Christian menembakkan pistol tersebut dan memecahkan layar televisi.,Adam mengambil pistol tersebut dari Christian.,Adam sangat bangga terhadap Christian.,0
Kip kecewa karena tidak ada salju.,Ia merengek kepada orang tuanya bahwa tidak ada Natal tanpa salju.,Mereka menyuruhnya pergi tidur.,Kip mengentakkan kaki ke kamarnya dan akhirnya tertidur.,"Untuk menghiburnya, orang tua Kip membawanya ke Florida.",Kip memimpikan kepingan salju.,1
Ben selalu ingin mempelajari cara bermain piano.,"Kini setelah anak-anaknya tumbuh dewasa, ia punya lebih banyak waktu luang.",Ben mengikuti kelas piano dengan seorang tutor setempat.,"Meski sulit, ia mengabdikan diri untuk belajar.",Ia menyerah karena terlalu sulit.,Ia menjadi semakin cakap setiap kali belajar.,1
Benson digencet di sekolah oleh seorang anak laki-laki lain.,Benson mulai sulit tidur karenanya.,Ia akhirnya memberitahukan hal tersebut kepada guru-gurunya di sekolah.,Para guru membicarakan masalah tersebut dengan si penggencet.,Mereka memujinya.,Si penggencet dikeluarkan dari sekolah.,1
Aku dan ayahku sedang menyiapkan tempat untuk tanaman di halaman belakang.,Kami menggali selama beberapa menit sambil mencoba menyiapkan tempat.,Aku menemukan sebuah kotak yang terkubur di dalam tanah.,"Saat aku melihat ke dalamnya, ada seekor hewan mati.",Aku mengembalikan kotak tersebut dan menemukan tempat lain untuk menggali.,Aku sangat senang.,0
"Karen telah pergi untuk bersekolah, meninggalkan kekasihnya Sam.","Sam merindukan Karen, tetapi ia punya rencana untuk mengatasinya.","Pada akhir pekan panjang, Sam naik kereta ke negara bagian utara untuk mengunjungi Karen.",Karen yang merindukan Sam juga punya rencana untuk mengatasinya.,"Ia pulang ke rumah untuk mengunjungi Sam, dan mereka saling melewatkan satu sama lain!","Ia putus dengan Sam, meninggalkannya patah hati.",0
Joey sedang berkemah dengan teman-temannya.,Ia ingin menyalakan api untuk memanggang marshmallow.,Ia menemukan beberapa ranting dan batang kayu di hutan.,Ia menggunakan korek api untuk membakar batang kayu tersebut.,Joey tidak suka berkemah.,Ia lalu memanggang marshmallow.,1
Diana bekerja membersihkan kantor-kantor.,Ia membersihkan toilet dan menyikat lantai.,Pada hari Jumat ia sakit parah dan merasa mual saat bekerja.,Ia tak dapat mengambil cuti.,Ia makan banyak saat santap siang.,Ia muntah di toilet.,1
Teman terbaik Jason akan menikah di India tahun depan.,Jason memutuskan bahwa ia ingin mempelajari bahasa Hindi sebelum pernikahan tersebut.,Ia menyewa seorang tutor dan berlatih bicara dalam bahasa Hindi setiap hari.,"Saat hari pernikahan tiba, Jason sudah lancar berbahasa Hindi!",Semua orang terkesan karena Jason telah menguasai dua bahasa.,Teman terbaik Jason tidak terkesan.,0
Todd dan Ashley berpacaran.,Todd merasa kesal dengan Ashley.,Ia mengabaikan Ashley.,Ashley menjadi marah.,Ia marah karena Todd tidak dapat berhenti bicara.,Ia memutuskan untuk tidak bicara juga kepada Todd.,1
Aku dan teman-temanku diundang ke sebuah pesta di kampus.,Kami berdandan untuk acara yang menarik itu.,Kami semua sangat bersemangat untuk bersenang-senang!,"Di pesta itu, kami berdansa sepanjang waktu.",Kami benci pesta.,Kami bersenang-senang!,1
