[PREMISE],[CHOICE1],[CHOICE2],question,[LABEL],changed,[CONNECTOR]
Kereta itu melambat.,Kereta itu melambat karena kereta itu mendekati stasiun.,Kereta itu melambat karena kereta itu berjalan telat di belakang jadwal.,cause,0,False,karena
Pria itu menjalani terapi.,Pria itu menjalani terapi karena penyakit mental menimpa keluarganya.,Pria itu menjalani terapi karena dia didiagnosis sebagai penderita depresi.,cause,1,False,karena
Wanita itu mencengkeram tenggorokannya.,Wanita itu mencengkeram tenggorokannya karena dia menelan makanannya.,Wanita itu mencengkeram tenggorokannya karena dia tersedak karena makanannya.,cause,1,False,karena
Wanita itu menderita sakit tenggorokan.,Wanita itu menderita sakit tenggorokan sehingga suaranya terdengar serak.,Wanita itu menderita sakit tenggorokan sehingga dia berbicara dengan sebuah logat.,effect,0,False,sehingga
Anjing itu memandangi steak lezat yang ada di atas meja.,Anjing itu memandangi steak lezat yang ada di atas meja sehingga dia mengiler.,Anjing itu memandangi steak lezat yang ada di atas meja sehingga dia terbaring.,effect,0,False,sehingga
Bisnis wanita itu berhasil.,Bisnis wanita itu berhasil sehingga dia memecat karyawannya.,Bisnis wanita itu berhasil sehingga dia menjadi kaya.,effect,1,False,sehingga
Para siswa keluar dari kelas.,Para siswa keluar dari kelas karena bel telah berbunyi.,Para siswa keluar dari kelas karena sang guru memberikan mereka pekerjaan rumah.,cause,0,False,karena
Wanita itu mengaku dia telah melihat hantu.,Wanita itu mengaku dia telah melihat hantu sehingga para kenalannya mencurigainya.,Wanita itu mengaku dia telah melihat hantu sehingga para kenalannya memaklumkannya.,effect,0,False,sehingga
Pria itu kehilangan pendengarannya.,Pria itu kehilangan pendengarannya karena dia hampir tenggelam di laut.,Pria itu kehilangan pendengarannya karena dia hampir terbunuh dalam suatu ledakan.,cause,1,False,karena
Anak itu melepaskan tali balon.,Anak itu melepaskan tali balon sehingga balon itu mengempis.,Anak itu melepaskan tali balon sehingga balon itu naik ke udara.,effect,1,False,sehingga
Pria itu kehilangan kemampuannya untuk berbicara.,Pria itu kehilangan kemampuannya untuk berbicara karena dia terkena stroke.,Pria itu kehilangan kemampuannya untuk berbicara karena dia ambil napas yang dalam.,cause,0,False,karena
Perempuan itu tersanding di trotoar.,Perempuan itu tersanding di trotoar sehingga ada retakan di lantai trotoar.,Perempuan itu tersanding di trotoar sehingga dia mendengar ada orang yang memanggil namanya.,effect,0,False,sehingga
Pria itu melakukan gaya bola meriam ketika loncat ke  dalam kolam.,Pria itu melakukan gaya bola meriam ketika loncat ke  dalam kolam sehingga penjaga pantai melompat ke dalam kolam setelahnya.,Pria itu melakukan gaya bola meriam ketika loncat ke  dalam kolam sehingga pria itu membuat penjaga pantai itu basah kuyup.,effect,1,False,sehingga
Saya minum antibiotik.,Saya minum antibiotik sehingga infeksi saya sembuh.,Saya minum antibiotik sehingga infeksi saya menyebar.,effect,0,False,sehingga
Lampu lalu lintas menjadi kuning.,Lampu lalu lintas menjadi kuning sehingga pengemudi itu ngerem.,Lampu lalu lintas menjadi kuning sehingga pengemudi itu membunyikan klaksonnya.,effect,0,False,sehingga
Wadah plastik itu meleleh.,Wadah plastik itu meleleh karena saya rendam wadah itu dalam air hangat.,Wadah plastik itu meleleh karena saya menempatkan wadah itu di atas kompor panas.,cause,1,False,karena
Mobil itu penyok.,Mobil itu penyok karena pengemudi menabraknya ke tiang telepon.,Mobil itu penyok karena pengemudinya menerobos lampu merah.,cause,0,False,karena
Bocah itu belajar sepanjang malam.,Bocah itu belajar sepanjang malam sehingga dia tidak datang ke ujiannya.,Bocah itu belajar sepanjang malam sehingga dia lulus ujiannya.,effect,1,False,sehingga
Bocah laki-laki itu memegang erat pegangan kolam.,Bocah laki-laki itu memegang erat pegangan kolam karena dia takut belajar berenang.,Bocah laki-laki itu memegang erat pegangan kolam karena penjaga pantai itu sedang bertugas.,cause,0,False,karena
Saya meletakkan tangan saya di dada.,Saya meletakkan tangan saya di dada sehingga saya merasakan detak jantung saya.,Saya meletakkan tangan saya di dada sehingga detak jantung saya meningkat.,effect,0,False,sehingga
Bangunan di dekat kantorku sedang diperbaiki.,Bangunan di dekat kantorku sedang diperbaiki sehingga kantorku jadi kacau.,Bangunan di dekat kantorku sedang diperbaiki sehingga kantorku jadi terganggu.,effect,1,False,sehingga
Keluarga itu ingin mengenal tetangga baru mereka.,Keluarga itu ingin mengenal tetangga baru mereka sehingga keluarga itu mengundang tetangganya untuk makan malam.,Keluarga itu ingin mengenal tetangga baru mereka sehingga keluarga itu melambai ke tetangganya dari halaman mereka.,effect,0,False,sehingga
Air terciprat dari kolam.,Air terciprat dari kolam karena perenang itu terjun ke kolam.,Air terciprat dari kolam karena perenang itu mengapung di kolam.,cause,0,False,karena
Saya menggigit sepotong semangka.,Saya menggigit sepotong semangka sehingga saya tidak sengaja menelan biji.,Saya menggigit sepotong semangka sehingga saya tidak sengaja mengeping gigi saya.,effect,0,False,sehingga
Bocah itu tersandung.,Bocah itu tersandung karena jaket ritsletingnya terbuka.,Bocah itu tersandung karena tali sepatunya terlepas.,cause,1,False,karena
Wanita menggunakan penyumbat telinga.,Wanita menggunakan penyumbat telinga karena dia terganggu oleh suara bising.,Wanita menggunakan penyumbat telinga karena dia menindik telinganya.,cause,0,False,karena
Saya mengisi ulang botol air saya.,Saya mengisi ulang botol air saya karena saya minum semua air di dalamnya.,Saya mengisi ulang botol air saya karena saya menyimpannya di lemari es.,cause,0,False,karena
Acara televisi itu disensor.,Acara televisi itu disensor karena acar itu berisi bahasa vulgar.,Acara televisi itu disensor karena acara itu memiliki plot yang rumit.,cause,0,False,karena
Kapal itu karam.,Kapal itu karam sehingga para awak kapal tenggelam.,Kapal itu karam sehingga para awak bertemu dengan bajak laut.,effect,0,False,sehingga
Bocah itu merasa bingung oleh teka-teki itu.,Bocah itu merasa bingung oleh teka-teki itu sehingga dia memecahkan teka-teki itu.,Bocah itu merasa bingung oleh teka-teki itu sehingga dia meminta sebuah petunjuk.,effect,1,False,sehingga
Telepon berdering.,Telepon berdering sehingga pria itu menutup teleponnya.,Telepon berdering sehingga pria itu mengangkat teleponnya.,effect,1,False,sehingga
Wanita itu menatapku.,Wanita itu menatapku sehingga saya peluknya.,Wanita itu menatapku sehingga saya merasa kurang enak.,effect,1,False,sehingga
Rombongan itu meninggalkan museum.,Rombongan itu meninggalkan museum karena mereka memotret pamerannya.,Rombongan itu meninggalkan museum karena mereka mengunjungi semua pameran.,cause,1,False,karena
Pria itu memulai sebuah pertengkaran denganku.,Pria itu memulai sebuah pertengkaran denganku sehingga teman saya memperkenalkan saya kepadanya.,Pria itu memulai sebuah pertengkaran denganku sehingga teman saya membela saya.,effect,1,False,sehingga
Ban sepeda saya kempes.,Ban sepeda saya kempes sehingga saya memompa udara ke ban itu.,Ban sepeda saya kempes sehingga saya mengganti gigi sepeda saya.,effect,0,False,sehingga
Gadis itu tampak pucat.,Gadis itu tampak pucat sehingga ayahnya membacakan sebuah cerita untuknya.,Gadis itu tampak pucat sehingga ayahnya merasakan dahinya.,effect,1,False,sehingga
Pena itu kehabisan tinta.,Pena itu kehabisan tinta sehingga saya menggunakan sebuah pensil.,Pena itu kehabisan tinta sehingga saya menandatangani nama saya.,effect,0,False,sehingga
Pria itu ditolak untuk mendapatkan pinjaman.,Pria itu ditolak untuk mendapatkan pinjaman karena dia memiliki hutang.,Pria itu ditolak untuk mendapatkan pinjaman karena dia memulai sebuah bisnis.,cause,0,False,karena
Gadis itu tidak pergi ke sekolah.,Gadis itu tidak pergi ke sekolah karena dia menderita cacar air.,Gadis itu tidak pergi ke sekolah karena dia menikmati belajar matematika.,cause,0,False,karena
Kantong sampah itu sudah penuh.,Kantong sampah itu sudah penuh sehingga saya membawanya ke tempat sampah.,Kantong sampah itu sudah penuh sehingga saya membuangnya ke dalam wastafel.,effect,0,False,sehingga
Saya telah menyedot karpet itu.,Saya telah menyedot karpet itu karena teman sekamar saya telah menumpahkan minuman berbuah.,Saya telah menyedot karpet itu karena anjing saya menjatuhkan banyak rambut.,cause,1,False,karena
Pria itu kehilangan kesabaran.,Pria itu kehilangan kesabaran sehingga dia telah matikan komputernya.,Pria itu kehilangan kesabaran sehingga dia telah lempar sebuah kursi ke seberang ruangan.,effect,1,False,sehingga
Gadis itu telah lemparkan sebuah ranting ke api unggun.,Gadis itu telah lemparkan sebuah ranting ke api unggun sehingga ranting itu terbakar.,Gadis itu telah lemparkan sebuah ranting ke api unggun sehingga api itu padam.,effect,0,False,sehingga
Pria itu keluar dari kamar mandi.,Pria itu keluar dari kamar mandi karena air panasnya sudah habis.,Pria itu keluar dari kamar mandi karena dia tidak bisa menemukan handuknya.,cause,0,False,karena
Orang tua itu ingin anak-anak mereka kuliah.,Orang tua itu ingin anak-anak mereka kuliah sehingga mereka telah menyisihkan dana tabungannya untuk biaya kuliah.,Orang tua itu ingin anak-anak mereka kuliah sehingga mereka telah mendorong anak-anak mereka untuk bermain di luar.,effect,0,False,sehingga
Pria itu telah lepaskan ikat tali sepatunya.,Pria itu telah lepaskan ikat tali sepatunya sehingga sepatunya mengendur.,Pria itu telah lepaskan ikat tali sepatunya sehingga sepatunya telah menjadi usang.,effect,0,False,sehingga
Pria itu telah makan setengah dari hidangan utamanya.,Pria itu telah makan setengah dari hidangan utamanya sehingga dia telah simpan sisa makanannya di kulkas.,Pria itu telah makan setengah dari hidangan utamanya sehingga dia telah menyimpan resepnya.,effect,0,False,sehingga
Pergelangan kaki saya bengkak.,Pergelangan kaki saya bengkak sehingga saya telah menaruh es di atasnya.,Pergelangan kaki saya bengkak sehingga saya telah mengoleskan lotion di atasnya.,effect,0,False,sehingga
Pintu kantor saya telah terbuka.,Pintu kantor saya telah terbuka sehingga saya telah bicara dengan rekan saya di meja saya.,Pintu kantor saya telah terbuka sehingga saya telah dengar percakapan yang terjadi di aula.,effect,1,False,sehingga
Saya harus mengantri.,Saya harus mengantri sehingga saya telah mengambil tempat duduk.,Saya harus mengantri sehingga saya telah sekilas membaca sebuah majalah.,effect,1,False,sehingga
Pria itu telah menepuk sebuah lalat.,Pria itu telah menepuk sebuah lalat sehingga lalat itu telah terbang pergi.,Pria itu telah menepuk sebuah lalat sehingga lalat itu tetap diam.,effect,0,False,sehingga
Pria itu sudah menulis surat wasiatnya.,Pria itu sudah menulis surat wasiatnya karena dia telah sekarat.,Pria itu sudah menulis surat wasiatnya karena dia adalah seorang duda.,cause,0,False,karena
Pelari itu merasakan bahwa kompetitornya hampir mendekatinya.,Pelari itu merasakan bahwa kompetitornya hampir mendekatinya sehingga dia telah keluar dari perlombaan itu.,Pelari itu merasakan bahwa kompetitornya hampir mendekatinya sehingga dia telah mempercepat langkahnya.,effect,1,False,sehingga
Saya telah berpikir dengan hati-hati tentang masalah itu.,Saya telah berpikir dengan hati-hati tentang masalah itu sehingga saya telah meminta saran.,Saya telah berpikir dengan hati-hati tentang masalah itu sehingga saya telah menemukan sebuah solusi.,effect,1,False,sehingga
Wisatawan itu berjalan di jembatan gantung yang bergoyah.,Wisatawan itu berjalan di jembatan gantung yang bergoyah sehingga dia merasa takut.,Wisatawan itu berjalan di jembatan gantung yang bergoyah sehingga dia merasa sangat gembira.,effect,0,False,sehingga
Pria itu telah mengantisipasi kemenangan timnya.,Pria itu telah mengantisipasi kemenangan timnya sehingga dia bertemu dengan teman-temannya untuk menonton pertandingan itu.,Pria itu telah mengantisipasi kemenangan timnya sehingga dia telah bertaruh dengan teman-temannya.,effect,1,False,sehingga
Bocah itu tidak bisa tidur.,Bocah itu tidak bisa tidur sehingga dia mengatur jam alarmnya.,Bocah itu tidak bisa tidur sehingga dia telah menghitung domba.,effect,1,False,sehingga
